27004;9;1;5;10;NULL;36;NULL;52;65;NULL;NULL;6;NULL;26;37;NULL;NULL;69;NULL;85;NULL;17;29;NULL;43;57;NULL;75;NULL
27005;9;1;2;NULL;22;NULL;45;NULL;NULL;73;80;NULL;NULL;25;31;NULL;51;63;NULL;89;3;15;NULL;33;46;NULL;66;NULL;NULL
27006;9;1;NULL;13;21;NULL;NULL;53;60;NULL;81;NULL;NULL;28;NULL;44;55;NULL;71;84;1;NULL;NULL;35;47;NULL;64;72;NULL
27010;9;3;NULL;10;NULL;33;40;NULL;61;73;NULL;NULL;14;24;NULL;NULL;53;NULL;74;81;6;NULL;27;NULL;41;58;NULL;NULL;86
27011;9;3;1;NULL;21;NULL;44;NULL;62;NULL;87;NULL;15;NULL;38;49;NULL;69;71;NULL;5;NULL;26;NULL;NULL;57;NULL;77;89
27012;9;3;4;12;NULL;32;NULL;50;63;NULL;NULL;9;NULL;20;35;NULL;NULL;67;78;NULL;NULL;19;22;NULL;46;59;NULL;NULL;85
27016;9;5;2;NULL;20;NULL;46;NULL;NULL;74;82;NULL;NULL;21;35;NULL;58;66;NULL;87;6;17;NULL;39;48;NULL;68;NULL;NULL
27017;9;5;NULL;15;26;NULL;NULL;50;60;NULL;81;NULL;NULL;28;NULL;43;55;NULL;75;83;3;NULL;NULL;30;49;NULL;65;77;NULL
27018;9;5;8;12;NULL;NULL;41;NULL;NULL;72;85;NULL;14;NULL;32;42;NULL;61;79;NULL;9;NULL;22;NULL;NULL;56;67;NULL;90
27022;9;7;NULL;13;23;NULL;43;54;NULL;NULL;84;1;NULL;28;32;NULL;NULL;61;72;NULL;6;19;NULL;37;NULL;55;63;NULL;NULL
27023;9;7;3;16;NULL;NULL;41;NULL;NULL;70;81;9;NULL;22;33;NULL;58;66;NULL;NULL;NULL;NULL;24;NULL;45;59;NULL;73;82
27024;9;7;5;14;NULL;NULL;42;NULL;62;NULL;86;NULL;NULL;21;35;NULL;50;NULL;71;88;NULL;17;27;NULL;46;52;NULL;75;NULL
